created_month,created_year,cd,total_requests,serviced_month,requesttype,count_service,avg_request_closed,percentage_service
January,2020,Council District 5,4826,January,Multiple Streetlight Issue,24,10,0.5
January,2020,Council District 5,4826,January,Single Streetlight Issue,80,7,1.66
January,2020,Council District 6,7749,January,Bulky Items,3951,3,50.99
January,2020,Council District 6,7749,January,Electronic Waste,282,2,3.64
January,2020,Council District 6,7749,January,Graffiti Removal,853,1,11.01
January,2020,Council District 6,7749,January,Homeless Encampment,411,38,5.3
January,2020,Council District 6,7749,January,Illegal Dumping Pickup,1629,7,21.02
January,2020,Council District 6,7749,January,Metal/Household Appliances,579,3,7.47
January,2020,Council District 6,7749,January,Multiple Streetlight Issue,23,38,0.3
January,2020,Council District 6,7749,January,Single Streetlight Issue,21,21,0.27
January,2020,Council District 7,5552,January,Bulky Items,3618,3,65.17
January,2020,Council District 7,5552,January,Electronic Waste,282,2,5.08
January,2020,Council District 7,5552,January,Graffiti Removal,259,2,4.66
January,2020,Council District 7,5552,January,Homeless Encampment,210,35,3.78
January,2020,Council District 7,5552,January,Illegal Dumping Pickup,433,6,7.8
January,2020,Council District 7,5552,January,Metal/Household Appliances,722,3,13.0
January,2020,Council District 7,5552,January,Multiple Streetlight Issue,9,33,0.16
January,2020,Council District 7,5552,January,Single Streetlight Issue,19,22,0.34
January,2020,Council District 8,6743,January,Bulky Items,4166,3,61.78
January,2020,Council District 8,6743,January,Electronic Waste,309,2,4.58
January,2020,Council District 8,6743,January,Graffiti Removal,309,8,4.58
January,2020,Council District 8,6743,January,Homeless Encampment,119,47,1.76
January,2020,Council District 8,6743,January,Illegal Dumping Pickup,1073,7,15.91
January,2020,Council District 8,6743,January,Metal/Household Appliances,699,2,10.37
January,2020,Council District 8,6743,January,Multiple Streetlight Issue,17,60,0.25
January,2020,Council District 8,6743,January,Single Streetlight Issue,51,9,0.76
January,2020,Council District 9,5826,January,Bulky Items,3041,4,52.2
January,2020,Council District 9,5826,January,Electronic Waste,195,2,3.35
January,2020,Council District 9,5826,January,Graffiti Removal,732,1,12.56
January,2020,Council District 9,5826,January,Homeless Encampment,334,61,5.73
January,2020,Council District 9,5826,January,Illegal Dumping Pickup,956,13,16.41
January,2020,Council District 9,5826,January,Metal/Household Appliances,470,2,8.07
January,2020,Council District 9,5826,January,Multiple Streetlight Issue,30,63,0.51
January,2020,Council District 9,5826,January,Single Streetlight Issue,68,19,1.17
January,2020,Council District 10,7786,January,Bulky Items,4123,3,52.95
January,2020,Council District 10,7786,January,Electronic Waste,278,2,3.57
January,2020,Council District 10,7786,January,Graffiti Removal,1433,6,18.4
January,2020,Council District 10,7786,January,Homeless Encampment,378,50,4.85
January,2020,Council District 10,7786,January,Illegal Dumping Pickup,888,6,11.41
January,2020,Council District 10,7786,January,Metal/Household Appliances,628,3,8.07
January,2020,Council District 10,7786,January,Multiple Streetlight Issue,15,63,0.19
January,2020,Council District 10,7786,January,Single Streetlight Issue,43,23,0.55
January,2020,Council District 11,5617,January,Bulky Items,3230,4,57.5
January,2020,Council District 11,5617,January,Electronic Waste,165,3,2.94
January,2020,Council District 11,5617,January,Graffiti Removal,699,7,12.44
January,2020,Council District 11,5617,January,Homeless Encampment,561,47,9.99
January,2020,Council District 11,5617,January,Illegal Dumping Pickup,334,11,5.95
January,2020,Council District 11,5617,January,Metal/Household Appliances,590,3,10.5
January,2020,Council District 11,5617,January,Multiple Streetlight Issue,7,5,0.12
January,2020,Council District 11,5617,January,Single Streetlight Issue,31,1,0.55
January,2020,Council District 12,6410,January,Bulky Items,3890,3,60.69
January,2020,Council District 12,6410,January,Electronic Waste,282,3,4.4
January,2020,Council District 12,6410,January,Graffiti Removal,642,1,10.02
January,2020,Council District 12,6410,January,Homeless Encampment,254,57,3.96
January,2020,Council District 12,6410,January,Illegal Dumping Pickup,359,8,5.6
January,2020,Council District 12,6410,January,Metal/Household Appliances,917,3,14.31
January,2020,Council District 12,6410,January,Multiple Streetlight Issue,33,80,0.51
January,2020,Council District 12,6410,January,Single Streetlight Issue,33,13,0.51
January,2020,Council District 13,7677,January,Bulky Items,4006,4,52.18
January,2020,Council District 13,7677,January,Electronic Waste,265,2,3.45
January,2020,Council District 13,7677,January,Graffiti Removal,1484,7,19.33
January,2020,Council District 13,7677,January,Homeless Encampment,507,69,6.6
January,2020,Council District 13,7677,January,Illegal Dumping Pickup,761,14,9.91
January,2020,Council District 13,7677,January,Metal/Household Appliances,542,2,7.06
January,2020,Council District 13,7677,January,Multiple Streetlight Issue,32,62,0.42
January,2020,Council District 13,7677,January,Single Streetlight Issue,80,50,1.04
January,2020,Council District 14,5835,January,Bulky Items,2949,4,50.54
January,2020,Council District 14,5835,January,Electronic Waste,198,3,3.39
January,2020,Council District 14,5835,January,Graffiti Removal,1149,7,19.69
January,2020,Council District 14,5835,January,Homeless Encampment,417,67,7.15
January,2020,Council District 14,5835,January,Illegal Dumping Pickup,569,20,9.75
January,2020,Council District 14,5835,January,Metal/Household Appliances,438,3,7.51
January,2020,Council District 14,5835,January,Multiple Streetlight Issue,48,56,0.82
January,2020,Council District 14,5835,January,Single Streetlight Issue,67,86,1.15
January,2020,Council District 15,5850,January,Bulky Items,3593,3,61.42
January,2020,Council District 15,5850,January,Electronic Waste,240,3,4.1
January,2020,Council District 15,5850,January,Graffiti Removal,417,2,7.13
January,2020,Council District 15,5850,January,Homeless Encampment,143,36,2.44
January,2020,Council District 15,5850,January,Illegal Dumping Pickup,732,7,12.51
January,2020,Council District 15,5850,January,Metal/Household Appliances,665,3,11.37
January,2020,Council District 15,5850,January,Multiple Streetlight Issue,21,69,0.36
January,2020,Council District 15,5850,January,Single Streetlight Issue,39,14,0.67
February,2020,Council District 1,4495,February,Bulky Items,2251,3,50.08
February,2020,Council District 1,4495,February,Electronic Waste,140,2,3.11
February,2020,Council District 1,4495,February,Graffiti Removal,1098,4,24.43
February,2020,Council District 1,4495,February,Homeless Encampment,194,46,4.32
February,2020,Council District 1,4495,February,Illegal Dumping Pickup,380,13,8.45
February,2020,Council District 1,4495,February,Metal/Household Appliances,378,3,8.41
February,2020,Council District 1,4495,February,Multiple Streetlight Issue,13,44,0.29
February,2020,Council District 1,4495,February,Single Streetlight Issue,41,53,0.91
February,2020,Council District 2,5507,February,Bulky Items,3205,3,58.2
February,2020,Council District 2,5507,February,Electronic Waste,191,2,3.47
February,2020,Council District 2,5507,February,Graffiti Removal,816,3,14.82
February,2020,Council District 2,5507,February,Homeless Encampment,244,50,4.43
February,2020,Council District 2,5507,February,Illegal Dumping Pickup,416,6,7.55
February,2020,Council District 2,5507,February,Metal/Household Appliances,564,3,10.24
February,2020,Council District 2,5507,February,Multiple Streetlight Issue,27,30,0.49
February,2020,Council District 2,5507,February,Single Streetlight Issue,44,36,0.8
February,2020,Council District 3,4958,February,Bulky Items,2880,3,58.09
February,2020,Council District 3,4958,February,Electronic Waste,193,3,3.89
February,2020,Council District 3,4958,February,Graffiti Removal,424,1,8.55
February,2020,Council District 3,4958,February,Homeless Encampment,488,25,9.84
February,2020,Council District 3,4958,February,Illegal Dumping Pickup,343,4,6.92
February,2020,Council District 3,4958,February,Metal/Household Appliances,592,2,11.94
February,2020,Council District 3,4958,February,Multiple Streetlight Issue,8,19,0.16
February,2020,Council District 3,4958,February,Single Streetlight Issue,30,10,0.61
February,2020,Council District 4,4481,February,Bulky Items,2796,3,62.4
February,2020,Council District 4,4481,February,Electronic Waste,148,3,3.3
February,2020,Council District 4,4481,February,Graffiti Removal,409,7,9.13
February,2020,Council District 4,4481,February,Homeless Encampment,230,33,5.13
February,2020,Council District 4,4481,February,Illegal Dumping Pickup,273,7,6.09
February,2020,Council District 4,4481,February,Metal/Household Appliances,505,2,11.27
February,2020,Council District 4,4481,February,Multiple Streetlight Issue,50,22,1.12
February,2020,Council District 4,4481,February,Single Streetlight Issue,70,40,1.56
February,2020,Council District 5,4334,February,Bulky Items,2581,3,59.55
February,2020,Council District 5,4334,February,Electronic Waste,158,4,3.65
February,2020,Council District 5,4334,February,Graffiti Removal,420,6,9.69
February,2020,Council District 5,4334,February,Homeless Encampment,331,44,7.64
February,2020,Council District 5,4334,February,Illegal Dumping Pickup,259,8,5.98
February,2020,Council District 5,4334,February,Metal/Household Appliances,496,2,11.44
February,2020,Council District 5,4334,February,Multiple Streetlight Issue,22,19,0.51
February,2020,Council District 5,4334,February,Single Streetlight Issue,67,19,1.55
February,2020,Council District 6,6447,February,Bulky Items,3119,2,48.38
February,2020,Council District 6,6447,February,Electronic Waste,188,2,2.92
February,2020,Council District 6,6447,February,Graffiti Removal,1080,1,16.75
February,2020,Council District 6,6447,February,Homeless Encampment,302,40,4.68
February,2020,Council District 6,6447,February,Illegal Dumping Pickup,1192,5,18.49
February,2020,Council District 6,6447,February,Metal/Household Appliances,508,3,7.88
February,2020,Council District 6,6447,February,Multiple Streetlight Issue,23,65,0.36
February,2020,Council District 6,6447,February,Single Streetlight Issue,35,14,0.54
February,2020,Council District 7,4483,February,Bulky Items,2932,3,65.4
February,2020,Council District 7,4483,February,Electronic Waste,233,2,5.2
February,2020,Council District 7,4483,February,Graffiti Removal,239,3,5.33
February,2020,Council District 7,4483,February,Homeless Encampment,121,26,2.7
February,2020,Council District 7,4483,February,Illegal Dumping Pickup,343,8,7.65
February,2020,Council District 7,4483,February,Metal/Household Appliances,586,3,13.07
February,2020,Council District 7,4483,February,Multiple Streetlight Issue,7,15,0.16
February,2020,Council District 7,4483,February,Single Streetlight Issue,22,24,0.49
February,2020,Council District 8,5509,February,Bulky Items,3349,3,60.79
February,2020,Council District 8,5509,February,Electronic Waste,217,2,3.94
February,2020,Council District 8,5509,February,Graffiti Removal,417,17,7.57
February,2020,Council District 8,5509,February,Homeless Encampment,117,43,2.12
February,2020,Council District 8,5509,February,Illegal Dumping Pickup,756,6,13.72
February,2020,Council District 8,5509,February,Metal/Household Appliances,601,2,10.91
February,2020,Council District 8,5509,February,Multiple Streetlight Issue,17,43,0.31
February,2020,Council District 8,5509,February,Single Streetlight Issue,35,15,0.64
February,2020,Council District 9,4747,February,Bulky Items,2346,3,49.42
February,2020,Council District 9,4747,February,Dead Animal Removal,1,3,0.02
February,2020,Council District 9,4747,February,Electronic Waste,129,2,2.72
February,2020,Council District 9,4747,February,Graffiti Removal,832,2,17.53
February,2020,Council District 9,4747,February,Homeless Encampment,260,59,5.48
February,2020,Council District 9,4747,February,Illegal Dumping Pickup,695,11,14.64
February,2020,Council District 9,4747,February,Metal/Household Appliances,376,3,7.92
February,2020,Council District 9,4747,February,Multiple Streetlight Issue,45,27,0.95
February,2020,Council District 9,4747,February,Single Streetlight Issue,63,21,1.33
February,2020,Council District 10,6487,February,Bulky Items,3170,4,48.87
February,2020,Council District 10,6487,February,Electronic Waste,203,3,3.13
February,2020,Council District 10,6487,February,Graffiti Removal,1468,6,22.63
February,2020,Council District 10,6487,February,Homeless Encampment,283,63,4.36
February,2020,Council District 10,6487,February,Illegal Dumping Pickup,738,7,11.38
February,2020,Council District 10,6487,February,Metal/Household Appliances,560,3,8.63
February,2020,Council District 10,6487,February,Multiple Streetlight Issue,14,38,0.22
February,2020,Council District 10,6487,February,Single Streetlight Issue,51,17,0.79
February,2020,Council District 11,4633,February,Bulky Items,2649,4,57.18
February,2020,Council District 11,4633,February,Electronic Waste,131,3,2.83
February,2020,Council District 11,4633,February,Graffiti Removal,538,9,11.61
February,2020,Council District 11,4633,February,Homeless Encampment,417,50,9.0
February,2020,Council District 11,4633,February,Illegal Dumping Pickup,271,14,5.85
February,2020,Council District 11,4633,February,Metal/Household Appliances,586,3,12.65
February,2020,Council District 11,4633,February,Multiple Streetlight Issue,6,26,0.13
February,2020,Council District 11,4633,February,Single Streetlight Issue,35,1,0.76
February,2020,Council District 12,5188,February,Bulky Items,3169,3,61.08
February,2020,Council District 12,5188,February,Electronic Waste,258,3,4.97
February,2020,Council District 12,5188,February,Graffiti Removal,516,1,9.95
February,2020,Council District 12,5188,February,Homeless Encampment,128,25,2.47
February,2020,Council District 12,5188,February,Illegal Dumping Pickup,313,5,6.03
February,2020,Council District 12,5188,February,Metal/Household Appliances,743,3,14.32
February,2020,Council District 12,5188,February,Multiple Streetlight Issue,29,60,0.56
February,2020,Council District 12,5188,February,Single Streetlight Issue,32,7,0.62
February,2020,Council District 13,6010,February,Bulky Items,3057,4,50.87
February,2020,Council District 13,6010,February,Electronic Waste,166,3,2.76
February,2020,Council District 13,6010,February,Graffiti Removal,1219,5,20.28
February,2020,Council District 13,6010,February,Homeless Encampment,437,65,7.27
February,2020,Council District 13,6010,February,Illegal Dumping Pickup,534,9,8.89
February,2020,Council District 13,6010,February,Metal/Household Appliances,515,2,8.57
February,2020,Council District 13,6010,February,Multiple Streetlight Issue,23,38,0.38
February,2020,Council District 13,6010,February,Single Streetlight Issue,59,34,0.98
February,2020,Council District 14,5037,February,Bulky Items,2325,4,46.16
February,2020,Council District 14,5037,February,Electronic Waste,155,3,3.08
February,2020,Council District 14,5037,February,Graffiti Removal,1284,10,25.49
February,2020,Council District 14,5037,February,Homeless Encampment,320,70,6.35
February,2020,Council District 14,5037,February,Illegal Dumping Pickup,413,15,8.2
February,2020,Council District 14,5037,February,Metal/Household Appliances,399,3,7.92
February,2020,Council District 14,5037,February,Multiple Streetlight Issue,65,39,1.29
February,2020,Council District 14,5037,February,Single Streetlight Issue,76,44,1.51
February,2020,Council District 15,4470,February,Bulky Items,2802,3,62.68
February,2020,Council District 15,4470,February,Electronic Waste,186,3,4.16
February,2020,Council District 15,4470,February,Graffiti Removal,304,2,6.8
February,2020,Council District 15,4470,February,Homeless Encampment,109,40,2.44
February,2020,Council District 15,4470,February,Illegal Dumping Pickup,444,5,9.93
February,2020,Council District 15,4470,February,Metal/Household Appliances,572,3,12.8
February,2020,Council District 15,4470,February,Multiple Streetlight Issue,29,46,0.65
February,2020,Council District 15,4470,February,Single Streetlight Issue,24,7,0.54
March,2020,Council District 1,4999,March,Bulky Items,2549,3,50.99
March,2020,Council District 1,4999,March,Electronic Waste,147,2,2.94
March,2020,Council District 1,4999,March,Graffiti Removal,1268,4,25.37
March,2020,Council District 1,4999,March,Homeless Encampment,194,47,3.88
March,2020,Council District 1,4999,March,Illegal Dumping Pickup,372,7,7.44
March,2020,Council District 1,4999,March,Metal/Household Appliances,429,2,8.58
March,2020,Council District 1,4999,March,Multiple Streetlight Issue,13,11,0.26
March,2020,Council District 1,4999,March,Single Streetlight Issue,27,42,0.54
March,2020,Council District 2,6359,March,Bulky Items,3977,3,62.54
March,2020,Council District 2,6359,March,Electronic Waste,239,2,3.76
March,2020,Council District 2,6359,March,Graffiti Removal,872,2,13.71
March,2020,Council District 2,6359,March,Homeless Encampment,183,36,2.88
March,2020,Council District 2,6359,March,Illegal Dumping Pickup,376,6,5.91
March,2020,Council District 2,6359,March,Metal/Household Appliances,644,3,10.13
March,2020,Council District 2,6359,March,Multiple Streetlight Issue,30,32,0.47
March,2020,Council District 2,6359,March,Single Streetlight Issue,38,16,0.6
March,2020,Council District 3,5131,March,Bulky Items,3024,2,58.94
March,2020,Council District 3,5131,March,Electronic Waste,211,2,4.11
March,2020,Council District 3,5131,March,Graffiti Removal,325,2,6.33
March,2020,Council District 3,5131,March,Homeless Encampment,521,7,10.15
March,2020,Council District 3,5131,March,Illegal Dumping Pickup,354,4,6.9
March,2020,Council District 3,5131,March,Metal/Household Appliances,677,3,13.19
March,2020,Council District 3,5131,March,Multiple Streetlight Issue,6,6,0.12
March,2020,Council District 3,5131,March,Single Streetlight Issue,13,6,0.25
March,2020,Council District 4,4530,March,Bulky Items,2843,2,62.76
March,2020,Council District 4,4530,March,Dead Animal Removal,1,2,0.02
March,2020,Council District 4,4530,March,Electronic Waste,168,2,3.71
March,2020,Council District 4,4530,March,Graffiti Removal,367,8,8.1
March,2020,Council District 4,4530,March,Homeless Encampment,213,37,4.7
March,2020,Council District 4,4530,March,Illegal Dumping Pickup,226,9,4.99
March,2020,Council District 4,4530,March,Metal/Household Appliances,594,2,13.11
March,2020,Council District 4,4530,March,Multiple Streetlight Issue,41,27,0.91
March,2020,Council District 4,4530,March,Single Streetlight Issue,77,38,1.7
March,2020,Council District 5,4062,March,Bulky Items,2570,3,63.27
March,2020,Council District 5,4062,March,Electronic Waste,154,2,3.79
March,2020,Council District 5,4062,March,Graffiti Removal,305,8,7.51
March,2020,Council District 5,4062,March,Homeless Encampment,224,41,5.51
March,2020,Council District 5,4062,March,Illegal Dumping Pickup,178,6,4.38
March,2020,Council District 5,4062,March,Metal/Household Appliances,550,2,13.54
March,2020,Council District 5,4062,March,Multiple Streetlight Issue,42,18,1.03
March,2020,Council District 5,4062,March,Single Streetlight Issue,39,30,0.96
March,2020,Council District 6,7491,March,Bulky Items,3842,2,51.29
March,2020,Council District 6,7491,March,Dead Animal Removal,1,0,0.01
March,2020,Council District 6,7491,March,Electronic Waste,233,2,3.11
March,2020,Council District 6,7491,March,Graffiti Removal,1158,1,15.46
March,2020,Council District 6,7491,March,Homeless Encampment,317,25,4.23
March,2020,Council District 6,7491,March,Illegal Dumping Pickup,1273,3,16.99
March,2020,Council District 6,7491,March,Metal/Household Appliances,622,2,8.3
March,2020,Council District 6,7491,March,Multiple Streetlight Issue,15,37,0.2
March,2020,Council District 6,7491,March,Single Streetlight Issue,30,9,0.4
March,2020,Council District 7,4751,March,Bulky Items,3030,3,63.78
March,2020,Council District 7,4751,March,Electronic Waste,229,2,4.82
March,2020,Council District 7,4751,March,Graffiti Removal,281,2,5.91
March,2020,Council District 7,4751,March,Homeless Encampment,102,18,2.15
March,2020,Council District 7,4751,March,Illegal Dumping Pickup,449,5,9.45
March,2020,Council District 7,4751,March,Metal/Household Appliances,632,3,13.3
March,2020,Council District 7,4751,March,Multiple Streetlight Issue,9,38,0.19
March,2020,Council District 7,4751,March,Single Streetlight Issue,19,18,0.4
March,2020,Council District 8,6248,March,Bulky Items,3965,2,63.46
March,2020,Council District 8,6248,March,Electronic Waste,275,2,4.4
March,2020,Council District 8,6248,March,Graffiti Removal,440,14,7.04
March,2020,Council District 8,6248,March,Homeless Encampment,94,34,1.5
March,2020,Council District 8,6248,March,Illegal Dumping Pickup,750,4,12.0
March,2020,Council District 8,6248,March,Metal/Household Appliances,686,2,10.98
March,2020,Council District 8,6248,March,Multiple Streetlight Issue,14,43,0.22
March,2020,Council District 8,6248,March,Single Streetlight Issue,24,15,0.38
March,2020,Council District 9,4779,March,Bulky Items,2592,3,54.24
March,2020,Council District 9,4779,March,Electronic Waste,201,2,4.21
March,2020,Council District 9,4779,March,Graffiti Removal,604,2,12.64
March,2020,Council District 9,4779,March,Homeless Encampment,238,45,4.98
March,2020,Council District 9,4779,March,Illegal Dumping Pickup,618,8,12.93
March,2020,Council District 9,4779,March,Metal/Household Appliances,446,2,9.33
March,2020,Council District 9,4779,March,Multiple Streetlight Issue,27,34,0.56
March,2020,Council District 9,4779,March,Single Streetlight Issue,53,30,1.11
March,2020,Council District 10,5924,March,Bulky Items,3255,3,54.95
March,2020,Council District 10,5924,March,Electronic Waste,182,2,3.07
March,2020,Council District 10,5924,March,Graffiti Removal,1160,5,19.58
March,2020,Council District 10,5924,March,Homeless Encampment,236,69,3.98
March,2020,Council District 10,5924,March,Illegal Dumping Pickup,497,6,8.39
March,2020,Council District 10,5924,March,Metal/Household Appliances,556,2,9.39
March,2020,Council District 10,5924,March,Multiple Streetlight Issue,10,28,0.17
March,2020,Council District 10,5924,March,Single Streetlight Issue,28,32,0.47
March,2020,Council District 11,4263,March,Bulky Items,2613,3,61.29
March,2020,Council District 11,4263,March,Electronic Waste,148,2,3.47
March,2020,Council District 11,4263,March,Graffiti Removal,363,10,8.52
March,2020,Council District 11,4263,March,Homeless Encampment,279,59,6.54
March,2020,Council District 11,4263,March,Illegal Dumping Pickup,233,21,5.47
March,2020,Council District 11,4263,March,Metal/Household Appliances,580,3,13.61
March,2020,Council District 11,4263,March,Multiple Streetlight Issue,7,2,0.16
March,2020,Council District 11,4263,March,Single Streetlight Issue,40,2,0.94
March,2020,Council District 12,5574,March,Bulky Items,3428,2,61.5
March,2020,Council District 12,5574,March,Electronic Waste,258,3,4.63
March,2020,Council District 12,5574,March,Graffiti Removal,553,1,9.92
March,2020,Council District 12,5574,March,Homeless Encampment,135,17,2.42
March,2020,Council District 12,5574,March,Illegal Dumping Pickup,326,3,5.85
March,2020,Council District 12,5574,March,Metal/Household Appliances,838,3,15.03
March,2020,Council District 12,5574,March,Multiple Streetlight Issue,11,20,0.2
March,2020,Council District 12,5574,March,Single Streetlight Issue,25,8,0.45
March,2020,Council District 13,6062,March,Bulky Items,3247,3,53.56
March,2020,Council District 13,6062,March,Electronic Waste,199,2,3.28
March,2020,Council District 13,6062,March,Graffiti Removal,1215,5,20.04
March,2020,Council District 13,6062,March,Homeless Encampment,326,95,5.38
March,2020,Council District 13,6062,March,Illegal Dumping Pickup,527,19,8.69
March,2020,Council District 13,6062,March,Metal/Household Appliances,492,3,8.12
March,2020,Council District 13,6062,March,Multiple Streetlight Issue,14,36,0.23
March,2020,Council District 13,6062,March,Single Streetlight Issue,42,43,0.69
March,2020,Council District 14,5149,March,Bulky Items,2582,3,50.15
March,2020,Council District 14,5149,March,Electronic Waste,183,2,3.55
March,2020,Council District 14,5149,March,Graffiti Removal,1280,16,24.86
March,2020,Council District 14,5149,March,Homeless Encampment,235,81,4.56
March,2020,Council District 14,5149,March,Illegal Dumping Pickup,339,13,6.58
March,2020,Council District 14,5149,March,Metal/Household Appliances,447,2,8.68
March,2020,Council District 14,5149,March,Multiple Streetlight Issue,37,33,0.72
March,2020,Council District 14,5149,March,Single Streetlight Issue,46,39,0.89
March,2020,Council District 15,4784,March,Bulky Items,3081,3,64.4
March,2020,Council District 15,4784,March,Electronic Waste,223,3,4.66
March,2020,Council District 15,4784,March,Graffiti Removal,226,9,4.72
March,2020,Council District 15,4784,March,Homeless Encampment,71,16,1.48
March,2020,Council District 15,4784,March,Illegal Dumping Pickup,501,4,10.47
March,2020,Council District 15,4784,March,Metal/Household Appliances,646,3,13.5
March,2020,Council District 15,4784,March,Multiple Streetlight Issue,12,36,0.25
March,2020,Council District 15,4784,March,Single Streetlight Issue,24,6,0.5
April,2020,Council District 1,4668,April,Bulky Items,2447,3,52.42
April,2020,Council District 1,4668,April,Electronic Waste,186,3,3.98
April,2020,Council District 1,4668,April,Graffiti Removal,1065,2,22.81
April,2020,Council District 1,4668,April,Homeless Encampment,136,58,2.91
April,2020,Council District 1,4668,April,Illegal Dumping Pickup,310,10,6.64
April,2020,Council District 1,4668,April,Metal/Household Appliances,492,3,10.54
April,2020,Council District 1,4668,April,Multiple Streetlight Issue,13,12,0.28
April,2020,Council District 1,4668,April,Single Streetlight Issue,19,28,0.41
April,2020,Council District 2,6224,April,Bulky Items,3717,3,59.72
April,2020,Council District 2,6224,April,Electronic Waste,257,3,4.13
April,2020,Council District 2,6224,April,Graffiti Removal,778,2,12.5
April,2020,Council District 2,6224,April,Homeless Encampment,313,26,5.03
April,2020,Council District 2,6224,April,Illegal Dumping Pickup,365,5,5.86
April,2020,Council District 2,6224,April,Metal/Household Appliances,742,3,11.92
April,2020,Council District 2,6224,April,Multiple Streetlight Issue,14,15,0.22
April,2020,Council District 2,6224,April,Single Streetlight Issue,38,23,0.61
April,2020,Council District 3,5732,April,Bulky Items,3357,2,58.57
April,2020,Council District 3,5732,April,Electronic Waste,261,2,4.55
April,2020,Council District 3,5732,April,Graffiti Removal,328,2,5.72
April,2020,Council District 3,5732,April,Homeless Encampment,592,13,10.33
April,2020,Council District 3,5732,April,Illegal Dumping Pickup,358,5,6.25
April,2020,Council District 3,5732,April,Metal/Household Appliances,813,2,14.18
April,2020,Council District 3,5732,April,Multiple Streetlight Issue,5,3,0.09
April,2020,Council District 3,5732,April,Single Streetlight Issue,18,3,0.31
April,2020,Council District 4,4898,April,Bulky Items,3016,3,61.58
April,2020,Council District 4,4898,April,Dead Animal Removal,1,1,0.02
April,2020,Council District 4,4898,April,Electronic Waste,235,3,4.8
April,2020,Council District 4,4898,April,Graffiti Removal,501,3,10.23
April,2020,Council District 4,4898,April,Homeless Encampment,224,30,4.57
April,2020,Council District 4,4898,April,Illegal Dumping Pickup,215,7,4.39
April,2020,Council District 4,4898,April,Metal/Household Appliances,615,2,12.56
April,2020,Council District 4,4898,April,Multiple Streetlight Issue,35,30,0.71
April,2020,Council District 4,4898,April,Single Streetlight Issue,56,34,1.14
April,2020,Council District 5,4735,April,Bulky Items,2732,2,57.7
April,2020,Council District 5,4735,April,Electronic Waste,224,2,4.73
April,2020,Council District 5,4735,April,Graffiti Removal,631,3,13.33
April,2020,Council District 5,4735,April,Homeless Encampment,251,23,5.3
April,2020,Council District 5,4735,April,Illegal Dumping Pickup,190,4,4.01
April,2020,Council District 5,4735,April,Metal/Household Appliances,625,2,13.2
April,2020,Council District 5,4735,April,Multiple Streetlight Issue,33,18,0.7
April,2020,Council District 5,4735,April,Single Streetlight Issue,49,29,1.03
